algorithm,n,procs,repeat,time_seconds,reconstruction_error,residual
lu_hilbert_no_pivot,50,4,1,0.00010890000339713879,8.5811192237652488e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,4,2,6.6300002799835056e-05,8.5811192237652488e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,4,3,5.3300002036849037e-05,8.5811192237652488e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,4,4,3.4100001357728615e-05,8.5811192237652488e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,4,5,3.6500001442618668e-05,8.5811192237652488e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,8,1,0.000356399999873247,8.5811192237652513e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,8,2,9.5699997473275289e-05,8.5811192237652513e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,8,3,9.9900000350316986e-05,8.5811192237652513e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,8,4,5.8199999330099672e-05,8.5811192237652513e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,50,8,5,8.0400001024827361e-05,8.5811192237652513e-17,2.0540793057165817e-15
lu_hilbert_no_pivot,100,1,1,0.00011090000043623149,1.1826681399528052e-16,7.0786779163499992e-16
lu_hilbert_no_pivot,100,1,2,9.1099998826393858e-05,1.1826681399528052e-16,7.0786779163499992e-16
lu_hilbert_no_pivot,100,1,3,8.9999997726408765e-05,1.1826681399528052e-16,7.0786779163499992e-16
lu_hilbert_no_pivot,100,1,4,8.9400000433670357e-05,1.1826681399528052e-16,7.0786779163499992e-16
lu_hilbert_no_pivot,100,1,5,8.929999967222102e-05,1.1826681399528052e-16,7.0786779163499992e-16
lu_hilbert_no_pivot,100,2,1,0.00026939999952446669,1.1826681399528193e-16,7.0786779163499992e-16
lu_hilbert_no_pivot,100,2,2,0.00011869999798364006,1.1826681399528193e-16,7.0786779163499992e-16
lu_hilbert_no_pivot,100,2,3,0.00012179999976069666,1.1826681399528193e-16,7.0786779163499992e-16
lu_hilbert_no_pivot,100,2,4,8.8799999502953142e-05,1.1826681399528193e-16,7.0786779163499992e-16
lu_hilbert_no_pivot,100,2,5,8.7600001279497519e-05,1.1826681399528193e-16,7.0786779163499992e-16
lu_hilbert_no_pivot,100,4,1,0.00024180000036722049,1.1826681399528166e-16,7.0786779163500002e-16
lu_hilbert_no_pivot,100,4,2,0.00011730000187526457,1.1826681399528166e-16,7.0786779163500002e-16
lu_hilbert_no_pivot,100,4,3,8.6000000010244548e-05,1.1826681399528166e-16,7.0786779163500002e-16
lu_hilbert_no_pivot,100,4,4,8.4399998740991578e-05,1.1826681399528166e-16,7.0786779163500002e-16
lu_hilbert_no_pivot,100,4,5,8.4600000263890252e-05,1.1826681399528166e-16,7.0786779163500002e-16
lu_hilbert_no_pivot,100,8,1,0.0015650999994250014,1.1826681399528158e-16,7.0786779163500002e-16
lu_hilbert_no_pivot,100,8,2,0.00033960000291699544,1.1826681399528158e-16,7.0786779163500002e-16
lu_hilbert_no_pivot,100,8,3,0.00016250000044237822,1.1826681399528158e-16,7.0786779163500002e-16
lu_hilbert_no_pivot,100,8,4,0.00012140000035287812,1.1826681399528158e-16,7.0786779163500002e-16
lu_hilbert_no_pivot,100,8,5,0.00011969999832217582,1.1826681399528158e-16,7.0786779163500002e-16
lu_hilbert_no_pivot,500,1,1,0.011438199999247445,2.3875552920908172e-16,4.8075318309605572e-15
lu_hilbert_no_pivot,500,1,2,0.011275900000327965,2.3875552920908172e-16,4.8075318309605572e-15
lu_hilbert_no_pivot,500,1,3,0.011338899999827845,2.3875552920908172e-16,4.8075318309605572e-15
lu_hilbert_no_pivot,500,1,4,0.014722600000823149,2.3875552920908172e-16,4.8075318309605572e-15
lu_hilbert_no_pivot,500,1,5,0.01144669999848702,2.3875552920908172e-16,4.8075318309605572e-15
lu_hilbert_no_pivot,500,2,1,0.0063494999994873069,2.3875552920910154e-16,4.8075318309605572e-15
lu_hilbert_no_pivot,500,2,2,0.0065887000018847175,2.3875552920910154e-16,4.8075318309605572e-15
lu_hilbert_no_pivot,500,2,3,0.0070032000003266148,2.3875552920910154e-16,4.8075318309605572e-15
lu_hilbert_no_pivot,500,2,4,0.0054729000003135297,2.3875552920910154e-16,4.8075318309605572e-15
lu_hilbert_no_pivot,500,2,5,0.0056939999994938262,2.3875552920910154e-16,4.8075318309605572e-15
lu_hilbert_no_pivot,500,4,1,0.0040081000006466638,2.3875552920910169e-16,4.807531830960554e-15
lu_hilbert_no_pivot,500,4,2,0.0039841999969212338,2.3875552920910169e-16,4.807531830960554e-15
lu_hilbert_no_pivot,500,4,3,0.003948000001400942,2.3875552920910169e-16,4.807531830960554e-15
lu_hilbert_no_pivot,500,4,4,0.0041104999982053414,2.3875552920910169e-16,4.807531830960554e-15
lu_hilbert_no_pivot,500,4,5,0.0036337999990792014,2.3875552920910169e-16,4.807531830960554e-15
lu_hilbert_no_pivot,500,8,1,0.0046813000008114614,2.3875552920911283e-16,4.8075318309605556e-15
lu_hilbert_no_pivot,500,8,2,0.0044794999994337559,2.3875552920911283e-16,4.8075318309605556e-15
lu_hilbert_no_pivot,500,8,3,0.0041916000009223353,2.3875552920911283e-16,4.8075318309605556e-15
lu_hilbert_no_pivot,500,8,4,0.0041983000010077376,2.3875552920911283e-16,4.8075318309605556e-15
lu_hilbert_no_pivot,500,8,5,0.0046379000013985205,2.3875552920911283e-16,4.8075318309605556e-15
lu_hilbert_no_pivot,1000,1,1,0.10226680000050692,3.2277805618363352e-16,8.4904930287769026e-15
lu_hilbert_no_pivot,1000,1,2,0.14127349999762373,3.2277805618363352e-16,8.4904930287769026e-15
lu_hilbert_no_pivot,1000,1,3,0.1080495999995037,3.2277805618363352e-16,8.4904930287769026e-15
